OrderedDict({'n_neighbors': 23, 'p': 2, 'weights': 'distance'}) - -15.770432399869481
OrderedDict({'n_neighbors': 14, 'p': 2, 'weights': 'uniform'}) - -15.671873220623223
OrderedDict({'n_neighbors': 25, 'p': 1, 'weights': 'distance'}) - -14.371008380729222
OrderedDict({'n_neighbors': 15, 'p': 2, 'weights': 'uniform'}) - -15.63158635908636
OrderedDict({'n_neighbors': 16, 'p': 2, 'weights': 'uniform'}) - -15.618758232664481
OrderedDict({'n_neighbors': 42, 'p': 1, 'weights': 'distance'}) - -14.524194055986888
OrderedDict({'n_neighbors': 39, 'p': 1, 'weights': 'distance'}) - -14.528864625642512
OrderedDict({'n_neighbors': 45, 'p': 1, 'weights': 'uniform'}) - -15.07196196196196
OrderedDict({'n_neighbors': 3, 'p': 1, 'weights': 'distance'}) - -15.318489991565846
OrderedDict({'n_neighbors': 8, 'p': 2, 'weights': 'distance'}) - -15.919521175357668
OrderedDict({'n_neighbors': 43, 'p': 1, 'weights': 'distance'}) - -14.537506980671484
OrderedDict({'n_neighbors': 28, 'p': 1, 'weights': 'distance'}) - -14.409165547593393
OrderedDict({'n_neighbors': 15, 'p': 2, 'weights': 'uniform'}) - -15.63158635908636
OrderedDict({'n_neighbors': 29, 'p': 1, 'weights': 'distance'}) - -14.434456217455857
OrderedDict({'n_neighbors': 37, 'p': 1, 'weights': 'uniform'}) - -14.93891262884506
OrderedDict({'n_neighbors': 41, 'p': 2, 'weights': 'uniform'}) - -15.809980340651071
OrderedDict({'n_neighbors': 23, 'p': 2, 'weights': 'uniform'}) - -15.750418165200774
OrderedDict({'n_neighbors': 26, 'p': 1, 'weights': 'uniform'}) - -14.74134415884416
OrderedDict({'n_neighbors': 34, 'p': 2, 'weights': 'distance'}) - -15.826558220455931
OrderedDict({'n_neighbors': 39, 'p': 2, 'weights': 'uniform'}) - -15.800975643475642
OrderedDict({'n_neighbors': 16, 'p': 1, 'weights': 'uniform'}) - -14.363725600600599
OrderedDict({'n_neighbors': 43, 'p': 1, 'weights': 'uniform'}) - -15.024658416344462
OrderedDict({'n_neighbors': 3, 'p': 1, 'weights': 'distance'}) - -15.318489991565846
OrderedDict({'n_neighbors': 21, 'p': 2, 'weights': 'uniform'}) - -15.677362914862915
OrderedDict({'n_neighbors': 19, 'p': 1, 'weights': 'uniform'}) - -14.440025252525254
OrderedDict({'n_neighbors': 36, 'p': 2, 'weights': 'distance'}) - -15.847203452679015
OrderedDict({'n_neighbors': 46, 'p': 2, 'weights': 'uniform'}) - -15.828176506546072
OrderedDict({'n_neighbors': 50, 'p': 1, 'weights': 'distance'}) - -14.60185550762245
OrderedDict({'n_neighbors': 13, 'p': 2, 'weights': 'uniform'}) - -15.707609305109306
OrderedDict({'n_neighbors': 38, 'p': 2, 'weights': 'uniform'}) - -15.804896403580614
OrderedDict({'n_neighbors': 49, 'p': 1, 'weights': 'distance'}) - -14.604807766790838
OrderedDict({'n_neighbors': 15, 'p': 2, 'weights': 'distance'}) - -15.657690464508775
OrderedDict({'n_neighbors': 23, 'p': 1, 'weights': 'uniform'}) - -14.63152725848378
OrderedDict({'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}) - -19.186547911547912
OrderedDict({'n_neighbors': 24, 'p': 1, 'weights': 'uniform'}) - -14.68283675721176
OrderedDict({'n_neighbors': 26, 'p': 1, 'weights': 'uniform'}) - -14.74134415884416
OrderedDict({'n_neighbors': 21, 'p': 1, 'weights': 'uniform'}) - -14.524705647205646
OrderedDict({'n_neighbors': 12, 'p': 1, 'weights': 'distance'}) - -14.156889617210364
OrderedDict({'n_neighbors': 15, 'p': 2, 'weights': 'uniform'}) - -15.63158635908636
OrderedDict({'n_neighbors': 30, 'p': 1, 'weights': 'distance'}) - -14.463875158458293
OrderedDict({'n_neighbors': 22, 'p': 2, 'weights': 'uniform'}) - -15.731457542252997
OrderedDict({'n_neighbors': 29, 'p': 2, 'weights': 'uniform'}) - -15.792036582036578
OrderedDict({'n_neighbors': 22, 'p': 1, 'weights': 'uniform'}) - -14.574826458690094
OrderedDict({'n_neighbors': 43, 'p': 1, 'weights': 'uniform'}) - -15.024658416344462
OrderedDict({'n_neighbors': 46, 'p': 1, 'weights': 'distance'}) - -14.575233827435957
OrderedDict({'n_neighbors': 22, 'p': 1, 'weights': 'uniform'}) - -14.574826458690094
OrderedDict({'n_neighbors': 17, 'p': 2, 'weights': 'distance'}) - -15.677383899447241
OrderedDict({'n_neighbors': 16, 'p': 1, 'weights': 'distance'}) - -14.17540825922579
OrderedDict({'n_neighbors': 27, 'p': 1, 'weights': 'distance'}) - -14.382579731869939
OrderedDict({'n_neighbors': 47, 'p': 2, 'weights': 'distance'}) - -15.833123082694868
OrderedDict({'n_neighbors': 29, 'p': 2, 'weights': 'distance'}) - -15.814920858343493
OrderedDict({'n_neighbors': 24, 'p': 1, 'weights': 'uniform'}) - -14.68283675721176
OrderedDict({'n_neighbors': 19, 'p': 2, 'weights': 'distance'}) - -15.703169188862754
OrderedDict({'n_neighbors': 20, 'p': 2, 'weights': 'uniform'}) - -15.681278255528259
OrderedDict({'n_neighbors': 19, 'p': 1, 'weights': 'distance'}) - -14.206179577962246
OrderedDict({'n_neighbors': 33, 'p': 2, 'weights': 'uniform'}) - -15.785503830276557
OrderedDict({'n_neighbors': 38, 'p': 2, 'weights': 'distance'}) - -15.826032309594973
OrderedDict({'n_neighbors': 14, 'p': 2, 'weights': 'distance'}) - -15.697272603964567
OrderedDict({'n_neighbors': 18, 'p': 1, 'weights': 'distance'}) - -14.19154646682622
OrderedDict({'n_neighbors': 14, 'p': 1, 'weights': 'uniform'}) - -14.249801879801879
OrderedDict({'n_neighbors': 30, 'p': 1, 'weights': 'uniform'}) - -14.863673173173172
OrderedDict({'n_neighbors': 28, 'p': 2, 'weights': 'distance'}) - -15.832406152711394
OrderedDict({'n_neighbors': 11, 'p': 2, 'weights': 'distance'}) - -15.82852690453063
OrderedDict({'n_neighbors': 19, 'p': 2, 'weights': 'uniform'}) - -15.671805250226303
OrderedDict({'n_neighbors': 48, 'p': 1, 'weights': 'uniform'}) - -15.095547593047593
OrderedDict({'n_neighbors': 22, 'p': 1, 'weights': 'distance'}) - -14.27294800331679
OrderedDict({'n_neighbors': 27, 'p': 1, 'weights': 'distance'}) - -14.382579731869939
OrderedDict({'n_neighbors': 16, 'p': 2, 'weights': 'distance'}) - -15.654555907511375
OrderedDict({'n_neighbors': 5, 'p': 1, 'weights': 'distance'}) - -14.52576556643047
OrderedDict({'n_neighbors': 42, 'p': 1, 'weights': 'uniform'}) - -15.002752964002966
OrderedDict({'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}) - -14.215715874965875
OrderedDict({'n_neighbors': 13, 'p': 1, 'weights': 'uniform'}) - -14.315834488334492
OrderedDict({'n_neighbors': 37, 'p': 1, 'weights': 'distance'}) - -14.492946991016591
OrderedDict({'n_neighbors': 42, 'p': 2, 'weights': 'uniform'}) - -15.821184122434124
OrderedDict({'n_neighbors': 21, 'p': 2, 'weights': 'uniform'}) - -15.677362914862915
OrderedDict({'n_neighbors': 48, 'p': 2, 'weights': 'uniform'}) - -15.815829437391937
OrderedDict({'n_neighbors': 8, 'p': 1, 'weights': 'distance'}) - -14.26165049306799
OrderedDict({'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}) - -14.430389821639821
OrderedDict({'n_neighbors': 39, 'p': 2, 'weights': 'distance'}) - -15.821272284460822
OrderedDict({'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}) - -15.00314086814087
OrderedDict({'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}) - -16.932537082537078
OrderedDict({'n_neighbors': 7, 'p': 1, 'weights': 'distance'}) - -14.358349785571614
OrderedDict({'n_neighbors': 19, 'p': 2, 'weights': 'distance'}) - -15.703169188862754
OrderedDict({'n_neighbors': 33, 'p': 1, 'weights': 'uniform'}) - -14.892597018506109
OrderedDict({'n_neighbors': 30, 'p': 1, 'weights': 'uniform'}) - -14.863673173173172
OrderedDict({'n_neighbors': 28, 'p': 2, 'weights': 'uniform'}) - -15.81437053937054
OrderedDict({'n_neighbors': 26, 'p': 2, 'weights': 'uniform'}) - -15.720791805791805
OrderedDict({'n_neighbors': 22, 'p': 2, 'weights': 'uniform'}) - -15.731457542252997
OrderedDict({'n_neighbors': 39, 'p': 2, 'weights': 'uniform'}) - -15.800975643475642
OrderedDict({'n_neighbors': 49, 'p': 1, 'weights': 'uniform'}) - -15.12532936925794
OrderedDict({'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}) - -14.479034066534066
OrderedDict({'n_neighbors': 43, 'p': 2, 'weights': 'uniform'}) - -15.814530661739962
OrderedDict({'n_neighbors': 40, 'p': 2, 'weights': 'distance'}) - -15.81903877234188
OrderedDict({'n_neighbors': 18, 'p': 2, 'weights': 'distance'}) - -15.709677467283967
OrderedDict({'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}) - -15.8953705978706
OrderedDict({'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}) - -15.8953705978706
OrderedDict({'n_neighbors': 14, 'p': 2, 'weights': 'uniform'}) - -15.671873220623223
OrderedDict({'n_neighbors': 34, 'p': 1, 'weights': 'uniform'}) - -14.924556113600232
OrderedDict({'n_neighbors': 45, 'p': 2, 'weights': 'uniform'}) - -15.81092578942579
OrderedDict({'n_neighbors': 44, 'p': 1, 'weights': 'distance'}) - -14.550768483153394
OrderedDict({'n_neighbors': 39, 'p': 2, 'weights': 'distance'}) - -15.821272284460822
OrderedDict({'n_neighbors': 3, 'p': 2, 'weights': 'distance'}) - -16.942837216713745
OrderedDict({'n_neighbors': 41, 'p': 1, 'weights': 'distance'}) - -14.53648694387758
OrderedDict({'n_neighbors': 40, 'p': 1, 'weights': 'uniform'}) - -15.004228893666394
OrderedDict({'n_neighbors': 21, 'p': 2, 'weights': 'uniform'}) - -15.677362914862915
OrderedDict({'n_neighbors': 11, 'p': 2, 'weights': 'distance'}) - -15.82852690453063
OrderedDict({'n_neighbors': 30, 'p': 2, 'weights': 'uniform'}) - -15.771656042406041
OrderedDict({'n_neighbors': 35, 'p': 2, 'weights': 'distance'}) - -15.844782671784056
OrderedDict({'n_neighbors': 26, 'p': 2, 'weights': 'distance'}) - -15.745169536279823
OrderedDict({'n_neighbors': 41, 'p': 1, 'weights': 'distance'}) - -14.53648694387758
OrderedDict({'n_neighbors': 28, 'p': 1, 'weights': 'distance'}) - -14.409165547593393
OrderedDict({'n_neighbors': 7, 'p': 2, 'weights': 'distance'}) - -15.943358749022105
OrderedDict({'n_neighbors': 18, 'p': 1, 'weights': 'distance'}) - -14.19154646682622
OrderedDict({'n_neighbors': 37, 'p': 1, 'weights': 'uniform'}) - -14.93891262884506
OrderedDict({'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}) - -14.430389821639821
OrderedDict({'n_neighbors': 32, 'p': 2, 'weights': 'distance'}) - -15.809526872836159
OrderedDict({'n_neighbors': 39, 'p': 2, 'weights': 'uniform'}) - -15.800975643475642
OrderedDict({'n_neighbors': 27, 'p': 1, 'weights': 'distance'}) - -14.382579731869939
OrderedDict({'n_neighbors': 11, 'p': 1, 'weights': 'uniform'}) - -14.267128037128037
OrderedDict({'n_neighbors': 10, 'p': 1, 'weights': 'distance'}) - -14.113936831738542
OrderedDict({'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}) - -15.913561581061582
OrderedDict({'n_neighbors': 41, 'p': 1, 'weights': 'distance'}) - -14.53648694387758
OrderedDict({'n_neighbors': 26, 'p': 1, 'weights': 'uniform'}) - -14.74134415884416
OrderedDict({'n_neighbors': 18, 'p': 1, 'weights': 'uniform'}) - -14.401426388509723
OrderedDict({'n_neighbors': 24, 'p': 2, 'weights': 'distance'}) - -15.731186994380701
OrderedDict({'n_neighbors': 21, 'p': 2, 'weights': 'uniform'}) - -15.677362914862915
OrderedDict({'n_neighbors': 34, 'p': 1, 'weights': 'distance'}) - -14.493211010665913
OrderedDict({'n_neighbors': 46, 'p': 2, 'weights': 'distance'}) - -15.842973089504962
OrderedDict({'n_neighbors': 12, 'p': 2, 'weights': 'distance'}) - -15.756618003315106
OrderedDict({'n_neighbors': 17, 'p': 2, 'weights': 'distance'}) - -15.677383899447241
OrderedDict({'n_neighbors': 42, 'p': 2, 'weights': 'uniform'}) - -15.821184122434124
OrderedDict({'n_neighbors': 30, 'p': 1, 'weights': 'distance'}) - -14.463875158458293
OrderedDict({'n_neighbors': 30, 'p': 1, 'weights': 'uniform'}) - -14.863673173173172
OrderedDict({'n_neighbors': 34, 'p': 1, 'weights': 'distance'}) - -14.493211010665913
OrderedDict({'n_neighbors': 24, 'p': 1, 'weights': 'distance'}) - -14.354208579145913
OrderedDict({'n_neighbors': 26, 'p': 2, 'weights': 'distance'}) - -15.745169536279823
OrderedDict({'n_neighbors': 26, 'p': 1, 'weights': 'uniform'}) - -14.74134415884416
OrderedDict({'n_neighbors': 28, 'p': 1, 'weights': 'uniform'}) - -14.790804448929446
OrderedDict({'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}) - -15.8953705978706
OrderedDict({'n_neighbors': 45, 'p': 1, 'weights': 'distance'}) - -14.56706173220004
OrderedDict({'n_neighbors': 42, 'p': 2, 'weights': 'distance'}) - -15.83675825330568
OrderedDict({'n_neighbors': 30, 'p': 1, 'weights': 'distance'}) - -14.463875158458293
OrderedDict({'n_neighbors': 20, 'p': 1, 'weights': 'distance'}) - -14.223005551056184
OrderedDict({'n_neighbors': 15, 'p': 2, 'weights': 'distance'}) - -15.657690464508775
OrderedDict({'n_neighbors': 27, 'p': 2, 'weights': 'distance'}) - -15.75653852798222
OrderedDict({'n_neighbors': 43, 'p': 2, 'weights': 'distance'}) - -15.82852299154664
OrderedDict({'n_neighbors': 49, 'p': 2, 'weights': 'distance'}) - -15.823069670400633
OrderedDict({'n_neighbors': 4, 'p': 2, 'weights': 'distance'}) - -16.48927528262376
OrderedDict({'n_neighbors': 23, 'p': 2, 'weights': 'uniform'}) - -15.750418165200774
OrderedDict({'n_neighbors': 29, 'p': 1, 'weights': 'distance'}) - -14.434456217455857
OrderedDict({'n_neighbors': 26, 'p': 1, 'weights': 'uniform'}) - -14.74134415884416
OrderedDict({'n_neighbors': 35, 'p': 2, 'weights': 'distance'}) - -15.844782671784056
OrderedDict({'n_neighbors': 44, 'p': 1, 'weights': 'distance'}) - -14.550768483153394
OrderedDict({'n_neighbors': 18, 'p': 2, 'weights': 'distance'}) - -15.709677467283967
OrderedDict({'n_neighbors': 22, 'p': 1, 'weights': 'distance'}) - -14.27294800331679
