OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 774, 'subsample': 0.6}) - -12.819045331675337
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 1045, 'subsample': 0.6}) - -12.856645611443545
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 817, 'subsample': 0.6}) - -12.827788004191756
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 784, 'subsample': 0.6}) - -12.820157987514936
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 619, 'subsample': 0.6}) - -12.81236759210785
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 2748, 'subsample': 0.6}) - -12.843568373202888
OrderedDict({'colsample_bytree': 0.801456068319238, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 4269, 'subsample': 0.6}) - -12.903555860480356
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 691, 'subsample': 0.6}) - -12.810748101202412
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 2730, 'subsample': 0.6}) - -12.842851974681007
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 650, 'subsample': 0.6}) - -12.807343574589535
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 662, 'subsample': 0.6}) - -12.80706503167492
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 653, 'subsample': 0.6}) - -12.808094283517125
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 660, 'subsample': 0.6}) - -12.80654194959161
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 652, 'subsample': 0.6}) - -12.807698992792456
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 651, 'subsample': 0.6}) - -12.808369517017837
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 659, 'subsample': 0.6}) - -12.80695508927229
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}) - -16.234687840625494
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 638, 'subsample': 0.6}) - -12.810308821004108
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 2953, 'subsample': 0.6}) - -12.964955444492151
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 657, 'subsample': 0.6}) - -12.807417714402481
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 1006, 'subsample': 0.6}) - -12.891643445938948
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 5000, 'subsample': 0.6}) - -13.495811960757703
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 1138, 'subsample': 0.6}) - -12.903275462704347
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 809, 'subsample': 0.9829882573901668}) - -12.923926901290107
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 50, 'subsample': 0.6}) - -15.785736126328246
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.010496822299281295, 'max_depth': 6, 'n_estimators': 1206, 'subsample': 0.6}) - -12.883314650048982
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.0729417702843525, 'max_depth': 7, 'n_estimators': 4019, 'subsample': 0.6}) - -12.962677871101121
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 3947, 'subsample': 1.0}) - -13.20085882722697
OrderedDict({'colsample_bytree': 0.7693063812382085, 'learning_rate': 0.02521970038980494, 'max_depth': 7, 'n_estimators': 4021, 'subsample': 0.6}) - -13.042474070727874
OrderedDict({'colsample_bytree': 0.9105728921752123, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 3972, 'subsample': 0.6}) - -13.514882036558499
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.029351731570084985, 'max_depth': 7, 'n_estimators': 4035, 'subsample': 0.6}) - -12.975248574312355
OrderedDict({'colsample_bytree': 0.6011308971365261, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 535, 'subsample': 0.6}) - -12.829433847750726
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 534, 'subsample': 0.6}) - -12.829676789526662
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 3429, 'subsample': 0.6}) - -13.174463716064878
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 535, 'subsample': 0.6}) - -12.829433847750726
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 5000, 'subsample': 0.6}) - -12.942242447824189
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 5000, 'subsample': 0.6}) - -13.006019948417293
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 3544, 'subsample': 0.6}) - -14.249546821302904
OrderedDict({'colsample_bytree': 0.9899186711022081, 'learning_rate': 0.010527565982830358, 'max_depth': 10, 'n_estimators': 3442, 'subsample': 0.6176660798928405}) - -12.982405610268083
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01130463996198952, 'max_depth': 5, 'n_estimators': 382, 'subsample': 0.6}) - -12.889761306565868
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.04217447452492105, 'max_depth': 10, 'n_estimators': 4112, 'subsample': 0.6}) - -12.992612946297083
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 682, 'subsample': 0.6}) - -12.960782031684895
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 669, 'subsample': 0.6}) - -12.868204319256431
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.020776204807458763, 'max_depth': 8, 'n_estimators': 3501, 'subsample': 0.6010719548734279}) - -13.022123676678081
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01670056551700343, 'max_depth': 4, 'n_estimators': 1120, 'subsample': 0.6}) - -12.974230540304472
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.016576542368397104, 'max_depth': 10, 'n_estimators': 4049, 'subsample': 0.6}) - -12.934775344979851
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 2746, 'subsample': 0.6}) - -12.850831424344472
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 4419, 'subsample': 0.7105199910981873}) - -12.939705137429328
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.08747883083629324, 'max_depth': 8, 'n_estimators': 212, 'subsample': 0.6}) - -13.17075914611004
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.016468798102957045, 'max_depth': 10, 'n_estimators': 3114, 'subsample': 1.0}) - -12.98551173417125
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 1450, 'subsample': 1.0}) - -12.976551542430505
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 2301, 'subsample': 0.6522925928157133}) - -13.001746023187474
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 2733, 'subsample': 1.0}) - -13.188117547406218
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.015031197563420591, 'max_depth': 8, 'n_estimators': 2746, 'subsample': 0.6}) - -12.86985195173971
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.014708434369382354, 'max_depth': 10, 'n_estimators': 4842, 'subsample': 1.0}) - -13.38559939744529
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.04010651899853753, 'max_depth': 10, 'n_estimators': 1308, 'subsample': 1.0}) - -13.054818737067517
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 1910, 'subsample': 0.6}) - -12.923531576636188
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 4332, 'subsample': 1.0}) - -13.334114243525349
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.016131681239680947, 'max_depth': 5, 'n_estimators': 4386, 'subsample': 0.6}) - -13.013863929292395
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 1054, 'subsample': 1.0}) - -13.1023608280185
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01060840668624734, 'max_depth': 10, 'n_estimators': 3000, 'subsample': 0.6}) - -12.793820683403547
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.012319518383144143, 'max_depth': 10, 'n_estimators': 3027, 'subsample': 0.6}) - -12.856382952306623
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 1610, 'subsample': 0.6}) - -12.9891203986378
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 2919, 'subsample': 0.6}) - -12.849794782049631
OrderedDict({'colsample_bytree': 0.6343960060359802, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 3018, 'subsample': 0.6}) - -12.88863318350352
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.010849041827772608, 'max_depth': 10, 'n_estimators': 2981, 'subsample': 0.6}) - -12.811973057886698
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.011503887520759103, 'max_depth': 7, 'n_estimators': 3113, 'subsample': 0.6805239556355277}) - -12.872485327084078
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.014008135073198329, 'max_depth': 5, 'n_estimators': 2698, 'subsample': 0.6}) - -12.96252362202075
