OrderedDict({'C': 34.67842384468103, 'epsilon': 0.5414318754673326, 'gamma': 3.001057066030405, 'kernel': 'linear'}) - -14.611885004382469
OrderedDict({'C': 100.0, 'epsilon': 0.5965916180676203, 'gamma': 10.0, 'kernel': 'linear'}) - -14.612559476834031
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 10.0, 'kernel': 'linear'}) - -14.670768705239135
OrderedDict({'C': 37.6432533441961, 'epsilon': 0.4938578976500832, 'gamma': 10.0, 'kernel': 'linear'}) - -14.614183728247152
OrderedDict({'C': 31.806309367468703, 'epsilon': 0.9914151525465491, 'gamma': 1.7546945642545553, 'kernel': 'linear'}) - -14.633050852477178
OrderedDict({'C': 17.600737986721942, 'epsilon': 0.5401883239319515, 'gamma': 10.0, 'kernel': 'linear'}) - -14.627120297480158
OrderedDict({'C': 0.01, 'epsilon': 0.001, 'gamma': 0.968582798832141, 'kernel': 'rbf'}) - -17.911232002451552
OrderedDict({'C': 20.84199462746099, 'epsilon': 0.7539755513462887, 'gamma': 4.600133896367553, 'kernel': 'linear'}) - -14.623378341194428
OrderedDict({'C': 37.92960020885755, 'epsilon': 1.0, 'gamma': 0.06571031922383007, 'kernel': 'linear'}) - -14.637886996943838
OrderedDict({'C': 17.128935508356218, 'epsilon': 0.6727384973662542, 'gamma': 0.01, 'kernel': 'linear'}) - -14.63102231097381
OrderedDict({'C': 29.04723959732155, 'epsilon': 0.8416256540328192, 'gamma': 0.631553208542799, 'kernel': 'linear'}) - -14.623389097043702
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.01, 'kernel': 'rbf'}) - -14.589452745916082
OrderedDict({'C': 100.0, 'epsilon': 0.40062287625045717, 'gamma': 0.01, 'kernel': 'rbf'}) - -14.589174609099766
OrderedDict({'C': 100.0, 'epsilon': 0.870631774763892, 'gamma': 0.01274859861482185, 'kernel': 'rbf'}) - -14.510482791338655
OrderedDict({'C': 100.0, 'epsilon': 1.0, 'gamma': 0.014628809081754988, 'kernel': 'rbf'}) - -14.476463522937058
OrderedDict({'C': 100.0, 'epsilon': 1.0, 'gamma': 0.01723069047203692, 'kernel': 'rbf'}) - -14.437970967596282
OrderedDict({'C': 100.0, 'epsilon': 0.7833915759084532, 'gamma': 0.019178859030633415, 'kernel': 'rbf'}) - -14.402516330400525
OrderedDict({'C': 100.0, 'epsilon': 0.4453478194605384, 'gamma': 0.020463905075435208, 'kernel': 'rbf'}) - -14.378861201970812
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.021588330746250873, 'kernel': 'rbf'}) - -14.350525674352827
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.026428155996596245, 'kernel': 'rbf'}) - -14.340424971239937
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.03619450183557658, 'kernel': 'rbf'}) - -14.305031633939004
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.043417117477802386, 'kernel': 'rbf'}) - -14.251871247627069
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.04945674795600304, 'kernel': 'rbf'}) - -14.2175955759864
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.05628285031807292, 'kernel': 'rbf'}) - -14.192292622114703
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.06509757729936773, 'kernel': 'rbf'}) - -14.209942555803456
OrderedDict({'C': 72.0213216419812, 'epsilon': 0.001, 'gamma': 0.05769047052311754, 'kernel': 'rbf'}) - -14.252553033353976
OrderedDict({'C': 0.01, 'epsilon': 1.0, 'gamma': 10.0, 'kernel': 'linear'}) - -16.79490730750714
OrderedDict({'C': 100.0, 'epsilon': 1.0, 'gamma': 0.05937851477789775, 'kernel': 'rbf'}) - -14.179349317673593
OrderedDict({'C': 0.01, 'epsilon': 1.0, 'gamma': 0.10427965068127362, 'kernel': 'linear'}) - -16.79490730750714
OrderedDict({'C': 0.01, 'epsilon': 1.0, 'gamma': 0.01, 'kernel': 'linear'}) - -16.79490730750714
OrderedDict({'C': 3.7629280085330823, 'epsilon': 0.0162227261719485, 'gamma': 3.049354001035488, 'kernel': 'rbf'}) - -17.363214499327807
OrderedDict({'C': 0.01, 'epsilon': 1.0, 'gamma': 0.01, 'kernel': 'poly'}) - -17.938641142010024
OrderedDict({'C': 100.0, 'epsilon': 1.0, 'gamma': 0.06623051069313854, 'kernel': 'rbf'}) - -14.232216725523312
OrderedDict({'C': 100.0, 'epsilon': 1.0, 'gamma': 0.05380835949752216, 'kernel': 'rbf'}) - -14.164748103843877
OrderedDict({'C': 1.6571428832126702, 'epsilon': 1.0, 'gamma': 1.523018815307574, 'kernel': 'linear'}) - -14.880714365508613
OrderedDict({'C': 0.4808938429904906, 'epsilon': 1.0, 'gamma': 0.22039915369502816, 'kernel': 'linear'}) - -15.193302749722415
OrderedDict({'C': 100.0, 'epsilon': 0.9341963383019684, 'gamma': 0.03995397147908626, 'kernel': 'linear'}) - -14.620130335677743
OrderedDict({'C': 100.0, 'epsilon': 0.8731594014325512, 'gamma': 0.03391049251452388, 'kernel': 'linear'}) - -14.616214459729301
OrderedDict({'C': 100.0, 'epsilon': 0.8806750433104086, 'gamma': 0.04109504150052854, 'kernel': 'linear'}) - -14.617405358285382
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.042366472492809185, 'kernel': 'poly'}) - -15.249520854713648
OrderedDict({'C': 100.0, 'epsilon': 1.0, 'gamma': 0.03429108272381709, 'kernel': 'linear'}) - -14.61832558779144
OrderedDict({'C': 100.0, 'epsilon': 0.990423219458179, 'gamma': 0.035791197253218957, 'kernel': 'linear'}) - -14.618422897467237
OrderedDict({'C': 100.0, 'epsilon': 0.9396030581109428, 'gamma': 0.03542904395711458, 'kernel': 'linear'}) - -14.620192306427668
OrderedDict({'C': 100.0, 'epsilon': 0.9633886239525663, 'gamma': 0.029552252677048814, 'kernel': 'linear'}) - -14.618672476511492
OrderedDict({'C': 100.0, 'epsilon': 0.9411010136330316, 'gamma': 0.03433694247521556, 'kernel': 'linear'}) - -14.620168369802224
OrderedDict({'C': 100.0, 'epsilon': 1.0, 'gamma': 0.03468721341263548, 'kernel': 'linear'}) - -14.61832558779144
OrderedDict({'C': 0.01, 'epsilon': 0.001, 'gamma': 1.0767079752447413, 'kernel': 'poly'}) - -15.076338281802649
